iter	Passed	Remaining
0	1	104
1	1	95
2	2	90
3	3	83
4	4	84
5	5	83
6	6	82
7	7	83
8	8	82
9	8	80
10	9	79
11	10	78
12	11	78
13	14	87
14	15	87
15	16	86
16	17	84
17	18	82
18	19	81
19	19	79
20	20	78
21	21	76
22	22	75
23	23	74
24	24	73
25	25	72
26	26	71
27	27	70
28	29	71
29	30	70
30	31	69
31	32	68
32	33	67
33	34	66
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	58
40	40	57
41	40	55
42	41	54
43	42	54
44	44	54
45	45	53
46	46	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	53	45
54	53	43
55	54	43
56	56	42
57	57	41
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	69	37
65	70	36
66	71	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	29
73	79	28
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	13
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	99	6
94	100	5
95	101	4
96	104	3
97	105	2
98	106	1
99	106	0
