iter	Passed	Remaining
0	1	1229
1	2	1138
2	3	1103
3	4	1088
4	5	1081
5	6	1059
6	9	1354
7	11	1397
8	12	1414
9	14	1420
10	15	1433
11	17	1457
12	21	1627
13	22	1597
14	25	1675
15	28	1731
16	29	1700
17	30	1670
18	32	1652
19	33	1640
20	34	1624
21	35	1596
22	39	1658
23	40	1654
24	41	1634
25	43	1614
26	44	1598
27	45	1586
28	47	1581
29	48	1561
30	49	1541
31	50	1535
32	53	1553
33	55	1567
34	56	1558
35	57	1546
36	59	1535
37	60	1527
38	62	1532
39	63	1520
40	64	1507
41	65	1500
42	70	1573
43	71	1561
44	72	1546
45	73	1534
46	75	1521
47	76	1510
48	77	1498
49	78	1486
50	79	1477
51	80	1467
52	81	1455
53	84	1477
54	85	1470
55	86	1464
56	88	1458
57	89	1450
58	90	1445
59	91	1438
60	92	1430
61	94	1424
62	95	1418
63	96	1410
64	99	1435
65	101	1429
66	102	1422
67	103	1415
68	104	1408
69	105	1401
70	106	1396
71	108	1392
72	109	1387
73	110	1381
74	111	1375
75	114	1386
76	115	1385
77	116	1379
78	117	1374
79	119	1369
80	120	1363
81	121	1357
82	121	1345
83	123	1342
84	124	1337
85	125	1333
86	126	1329
87	129	1346
88	131	1345
89	133	1345
90	134	1343
91	135	1339
92	137	1336
93	138	1332
94	139	1330
95	140	1327
96	142	1323
97	145	1334
98	146	1331
99	147	1328
100	148	1325
101	150	1321
102	151	1317
103	152	1312
104	153	1307
105	154	1303
106	155	1299
107	156	1294
108	157	1289
109	160	1298
110	161	1294
111	162	1289
112	163	1284
113	164	1279
114	165	1274
115	166	1270
116	167	1264
117	168	1260
118	169	1256
119	170	1251
120	171	1247
121	172	1241
122	174	1247
123	177	1250
124	178	1246
125	179	1243
126	180	1237
127	181	1235
128	182	1231
129	183	1227
130	184	1223
131	185	1219
132	186	1215
133	187	1211
134	190	1217
135	191	1214
136	192	1211
137	193	1207
138	194	1203
139	195	1200
140	196	1196
141	197	1190
142	198	1187
143	199	1183
144	200	1180
145	201	1177
146	202	1173
147	203	1170
148	205	1175
149	207	1173
150	208	1169
151	209	1166
152	210	1163
153	211	1159
154	212	1156
155	213	1153
156	214	1150
157	215	1146
158	216	1144
159	217	1141
160	217	1135
161	220	1139
162	221	1137
163	222	1134
164	223	1131
165	224	1129
166	225	1126
167	226	1123
168	227	1120
169	228	1117
170	229	1114
171	231	1112
172	232	1109
173	233	1106
174	234	1103
175	235	1101
